user_id,purchase_id,purchase_date,purchase_amount,product_category,payment_method,region,is_returning_customer,discount_used,days_since_last_purchase,user_age_group
1713,PUR-82940,2023-12-09 21:09:02.883710528,48.1,Home,Bank Transfer,North America,1,0,1.0,45+
128,PUR-33567,2022-09-19 06:09:05.554215364,201.69,Books,Crypto,Asia,1,0,232.0,18-24
1645,PUR-16294,2023-03-17 17:42:49.577175456,16.05,Home,Crypto,Asia,1,1,45.0,18-24
678,PUR-37350,2023-01-23 08:37:53.168969108,20.84,Home,Bank Transfer,Australia,1,0,326.0,18-24
655,PUR-27395,2023-09-28 19:32:45.836308576,205.55,Toys,PayPal,Australia,0,1,,45+
1906,PUR-44105,2023-07-25 08:49:08.560675664,104.3,Clothing,PayPal,South America,0,1,,25-34
2609,PUR-16193,2022-08-01 03:12:13.318925140,135.63,Electronics,Bank Transfer,Europe,0,0,,45+
2974,PUR-58509,2022-03-12 21:36:43.868738593,235.02,Books,Card,Europe,1,0,92.0,25-34
823,PUR-54659,2023-08-21 10:28:15.354545312,439.47,Toys,Bank Transfer,South America,1,0,127.0,35-44
1103,PUR-83413,2022-10-01 14:11:44.982560704,442.47,Books,Crypto,Asia,1,0,164.0,25-34
1499,PUR-34832,2023-03-07 11:19:25.634250280,437.98,Clothing,Bank Transfer,South America,0,1,,35-44
1013,PUR-49736,2022-03-09 00:43:04.294109354,29.84,Books,Card,Australia,1,1,262.0,35-44
1839,PUR-35545,2022-07-25 04:57:51.194639804,296.68,Clothing,PayPal,South America,0,0,,18-24
1195,PUR-87726,2023-04-14 19:05:19.219034016,54.96,Electronics,PayPal,South America,1,0,181.0,35-44
1812,PUR-42528,2022-02-09 11:11:40.380355677,148.61,Clothing,Bank Transfer,Europe,0,0,,25-34
1076,PUR-93230,2023-09-12 14:32:57.988904640,40.66,Clothing,PayPal,North America,0,1,,45+
2,PUR-78137,2022-09-18 01:42:07.009006140,339.88,Electronics,Bank Transfer,South America,1,0,101.0,45+
601,PUR-40668,2022-03-10 21:58:14.236397976,475.51,Electronics,Card,North America,1,1,164.0,25-34
1904,PUR-37821,2022-07-18 07:49:10.600454666,423.27,Books,Card,Australia,0,1,,45+
1746,PUR-13900,2023-11-15 10:13:57.938902848,390.18,Electronics,Bank Transfer,Asia,0,1,,35-44
371,PUR-30641,2023-07-12 10:47:03.810127528,,Books,PayPal,South America,1,1,279.0,25-34
307,PUR-39386,2022-11-23 00:47:05.118733472,160.72,Electronics,Bank Transfer,Asia,1,1,304.0,45+
1696,PUR-76618,2023-08-02 22:38:52.684120816,120.79,Home,Bank Transfer,North America,1,0,68.0,35-44
1243,PUR-55718,2022-01-10 23:06:58.975829174,451.12,Sports,Bank Transfer,Europe,1,0,47.0,18-24
2003,PUR-10483,2023-06-06 02:43:39.561499072,152.53,Home,Crypto,Australia,0,0,,18-24
748,PUR-70899,2022-04-12 08:08:24.596670544,323.72,Clothing,PayPal,Asia,0,1,,45+
1856,PUR-69036,2023-03-22 20:50:53.058659048,32.66,Electronics,Card,Asia,0,0,,45+
1931,PUR-36353,2022-03-14 06:12:59.122606718,174.63,Sports,PayPal,Europe,1,0,299.0,25-34
1312,PUR-41343,2023-03-20 07:37:52.845448416,114.99,Toys,Bank Transfer,Australia,1,0,183.0,25-34
145,PUR-65771,2023-08-12 20:04:35.124776304,440.04,Electronics,Crypto,Europe,0,1,,18-24
2763,PUR-78768,2022-11-15 02:11:42.306115464,192.69,Home,PayPal,North America,1,1,150.0,35-44
272,PUR-80246,2022-10-04 10:36:19.169595940,130.47,Clothing,PayPal,North America,1,0,305.0,25-34
1218,PUR-62906,2022-07-21 21:49:05.346661970,425.91,Home,Bank Transfer,South America,1,0,4.0,25-34
1771,PUR-24295,2023-11-10 13:19:06.251717424,286.34,Electronics,Crypto,Asia,1,0,278.0,18-24
951,PUR-89334,2023-01-24 16:22:38.724546896,195.43,Electronics,Bank Transfer,North America,1,1,121.0,45+
2864,PUR-26362,2023-01-24 06:44:08.071066292,48.4,Clothing,Card,Europe,0,1,,45+
857,PUR-53707,2023-11-14 06:24:12.982033768,363.96,Home,Bank Transfer,South America,1,0,31.0,35-44
1288,PUR-26498,2022-10-26 11:53:02.690662424,,Electronics,Bank Transfer,North America,0,1,,35-44
2190,PUR-26159,2023-11-30 09:56:35.406502424,260.34,Toys,Card,Europe,0,0,,45+
513,PUR-50582,2023-07-06 21:32:57.799857584,222.52,Toys,Crypto,Europe,1,0,124.0,35-44
369,PUR-59447,2023-06-25 02:22:48.495015448,431.12,Clothing,Bank Transfer,North America,1,0,64.0,35-44
2452,PUR-68564,2022-12-07 07:49:48.582251376,128.12,Electronics,Bank Transfer,North America,1,1,113.0,45+
1725,PUR-41812,2022-07-08 11:51:05.994501242,427.18,Electronics,PayPal,North America,1,0,9.0,35-44
2725,PUR-39029,2022-05-14 08:08:45.361123424,325.54,Home,Bank Transfer,North America,1,1,146.0,45+
508,PUR-67128,2022-07-03 11:18:53.122347384,383.85,Toys,Crypto,Asia,0,0,,25-34
253,PUR-84398,2023-08-03 18:34:02.806737000,243.23,Clothing,Bank Transfer,Asia,0,0,,45+
2439,PUR-28286,2023-09-14 21:56:11.630293600,484.55,Toys,Crypto,Europe,1,1,39.0,18-24
1891,PUR-72476,2023-02-03 13:53:14.729352288,303.59,Sports,Bank Transfer,Europe,1,1,292.0,25-34
2746,PUR-23308,2023-05-12 04:55:09.332225816,490.66,Toys,Crypto,Asia,1,0,249.0,25-34
1791,PUR-63209,2023-05-10 05:58:11.481700520,185.13,Books,Card,South America,0,1,,25-34
779,PUR-50715,2022-01-15 00:51:30.611766751,78.58,Home,PayPal,Europe,1,0,246.0,35-44
1594,PUR-88793,2023-01-30 13:28:04.543253024,446.16,Home,PayPal,Asia,0,0,,18-24
520,PUR-69774,2023-08-02 05:11:21.096895792,17.27,Books,Bank Transfer,South America,0,0,,45+
2338,PUR-91796,2022-02-28 00:20:27.380565848,497.92,Sports,Crypto,Australia,1,0,301.0,35-44
380,PUR-68163,2022-12-16 10:58:00.625300084,105.08,Home,Card,South America,1,0,285.0,25-34
1972,PUR-82269,2022-12-17 11:24:27.749240312,,Electronics,PayPal,Asia,0,1,,18-24
47,PUR-30456,2023-10-22 16:00:53.031826808,154.67,Electronics,Bank Transfer,North America,0,1,,18-24
1335,PUR-16672,2022-04-30 09:00:27.740145022,,Home,Card,Europe,1,0,77.0,25-34
2930,PUR-83997,2023-05-21 13:33:20.667714144,78.34,Sports,Card,Australia,0,0,,18-24
1974,PUR-69049,2023-06-12 02:31:46.268232608,341.26,Books,Bank Transfer,Europe,1,1,270.0,35-44
2761,PUR-80751,2022-06-17 01:59:36.782566640,135.04,Toys,Card,Australia,1,0,7.0,45+
207,PUR-31890,2022-05-05 13:40:11.651792188,364.44,Books,Bank Transfer,Asia,1,0,193.0,18-24
389,PUR-53191,2023-04-14 16:28:15.659252704,19.25,Toys,Card,Asia,1,1,298.0,45+
2078,PUR-90289,2023-01-22 21:06:21.779407312,362.59,Books,Bank Transfer,North America,1,1,74.0,18-24
560,PUR-72765,2022-06-14 02:10:46.037429358,171.37,Sports,PayPal,North America,0,1,,18-24
894,PUR-35514,2022-03-23 17:47:56.401716413,157.41,Clothing,Bank Transfer,South America,0,1,,45+
2823,PUR-37268,2022-04-12 21:29:39.386508739,74.9,Electronics,PayPal,Europe,0,1,,35-44
1444,PUR-51900,2023-07-12 23:32:19.456122128,111.01,Books,PayPal,Australia,0,1,,18-24
2433,PUR-17052,2022-12-07 21:09:30.606287476,467.19,Books,Card,North America,1,0,166.0,18-24
1209,PUR-37164,2022-04-27 20:06:26.403959414,120.07,Books,Bank Transfer,Europe,0,1,,25-34
337,PUR-71308,2023-01-30 01:23:07.716328152,357.46,Home,Crypto,Europe,0,0,,45+
121,PUR-25948,2023-05-17 14:52:22.370137160,35.59,Sports,Crypto,North America,0,0,,25-34
2561,PUR-25702,2022-09-01 12:23:28.811727464,330.4,Sports,Bank Transfer,Australia,1,1,48.0,18-24
1809,PUR-86447,2022-04-26 01:17:27.148109740,131.28,Books,Crypto,Europe,0,1,,25-34
1474,PUR-43254,2022-10-24 09:39:09.474806280,407.24,Home,Card,South America,1,0,204.0,18-24
1580,PUR-77376,2023-07-21 11:36:13.737436056,325.6,Toys,Card,North America,1,1,37.0,18-24
391,PUR-97811,2022-05-22 00:06:23.522077320,288.34,Sports,Bank Transfer,Australia,1,0,274.0,35-44
854,PUR-60686,2022-11-08 05:09:12.218370320,405.11,Toys,Bank Transfer,Europe,1,0,185.0,18-24
1956,PUR-29219,2023-01-14 23:04:07.213665548,152.15,Toys,Crypto,Australia,1,1,209.0,18-24
1502,PUR-90813,2022-07-30 18:02:49.278650656,75.89,Home,PayPal,South America,0,1,,18-24
2856,PUR-92697,2022-04-08 17:49:55.467635821,38.07,Books,Crypto,Europe,1,0,17.0,35-44
2640,PUR-41368,2022-10-16 11:09:02.095908604,7.17,Home,PayPal,Australia,1,0,13.0,25-34
2973,PUR-54815,2023-06-28 01:57:37.172719288,254.76,Toys,Crypto,Asia,0,1,,45+
2572,PUR-92102,2022-05-14 21:55:31.831256276,46.28,Books,Bank Transfer,Europe,0,1,,18-24
600,PUR-68805,2023-03-25 18:38:29.220885336,155.79,Books,PayPal,Europe,1,1,85.0,18-24
427,PUR-42999,2023-04-21 02:55:48.595135992,257.29,Toys,Bank Transfer,Europe,1,1,286.0,45+
1995,PUR-39584,2023-05-09 12:43:16.906383640,156.08,Home,Crypto,Asia,1,1,203.0,25-34
2493,PUR-72396,2022-04-09 22:06:29.431479736,395.76,Home,Card,Europe,1,1,207.0,35-44
1333,PUR-60192,2022-12-12 21:58:49.568967108,8.85,Toys,Crypto,South America,0,1,,25-34
2613,PUR-95266,2022-12-28 21:17:48.379310800,61.4,Toys,Crypto,North America,1,1,221.0,35-44
1454,PUR-48652,2023-04-03 16:28:33.950480784,256.73,Home,Crypto,South America,1,1,26.0,25-34
2236,PUR-60236,2023-11-19 00:13:11.882982560,57.9,Home,Crypto,North America,0,1,,45+
675,PUR-20141,2022-03-04 21:24:54.089578662,166.75,Home,PayPal,North America,0,0,,35-44
659,PUR-91635,2023-03-14 14:18:50.620639408,451.06,Sports,Card,South America,0,0,,25-34
1559,PUR-73026,2023-03-17 12:47:28.687180992,461.28,Toys,PayPal,South America,1,0,364.0,18-24
760,PUR-40075,2022-02-20 19:55:23.803433405,497.36,Toys,Card,Europe,1,1,20.0,35-44
582,PUR-45842,2022-03-08 18:57:17.683857631,246.85,Books,Crypto,Europe,1,0,1.0,35-44
1684,PUR-11399,2023-02-27 17:51:29.495929752,289.44,Books,Crypto,Asia,1,0,209.0,45+
2482,PUR-13353,2022-05-24 23:22:59.601915708,267.06,Books,PayPal,Europe,1,0,210.0,18-24
1378,PUR-66636,2022-03-09 18:16:37.005872717,341.31,Books,PayPal,South America,1,0,236.0,25-34
490,PUR-67121,2023-03-30 01:06:10.226286976,473.36,Clothing,Bank Transfer,Australia,0,1,,25-34
218,PUR-29519,2023-09-02 04:46:14.509088760,,Home,Crypto,South America,0,1,,35-44
1721,PUR-80354,2022-04-03 17:07:40.817415792,147.77,Electronics,Bank Transfer,Australia,0,1,,35-44
2729,PUR-70375,2022-05-25 14:25:38.967404918,368.49,Clothing,Crypto,Asia,1,0,255.0,25-34
2219,PUR-59216,2023-07-01 08:15:54.728473672,231.11,Toys,PayPal,North America,1,1,308.0,35-44
1557,PUR-67451,2022-07-27 16:21:13.337900116,298.15,Clothing,Bank Transfer,Europe,0,0,,45+
2004,PUR-49770,2022-03-08 16:51:11.144597769,404.86,Electronics,PayPal,North America,0,0,,18-24
1602,PUR-83602,2023-06-03 23:01:26.001961200,169.53,Electronics,Bank Transfer,North America,1,0,163.0,18-24
771,PUR-29715,2023-05-09 15:34:05.324241688,402.6,Sports,Bank Transfer,North America,1,1,54.0,18-24
1572,PUR-62587,2022-07-21 17:35:09.925218290,357.11,Sports,Crypto,South America,1,1,100.0,18-24
2733,PUR-88558,2023-11-27 03:11:08.202963024,58.53,Books,Bank Transfer,Europe,1,0,293.0,45+
103,PUR-10159,2022-07-05 04:43:06.925892426,213.86,Toys,PayPal,North America,0,0,,18-24
2663,PUR-15567,2023-02-20 09:29:26.224824448,497.91,,Bank Transfer,Asia,1,0,102.0,18-24
2072,PUR-89897,2022-05-16 20:36:16.456045766,145.25,Toys,Bank Transfer,Asia,0,1,,25-34
105,PUR-46844,2022-04-24 14:04:31.985021708,118.19,Electronics,Crypto,Australia,1,1,162.0,35-44
1422,PUR-31338,2023-09-06 20:30:09.629678904,8.2,Sports,Card,Australia,1,1,358.0,25-34
1859,PUR-37342,2023-08-14 20:42:41.284015680,281.31,Books,Bank Transfer,Europe,0,0,,25-34
2560,PUR-36749,2022-08-05 02:14:28.760840804,306.2,Sports,Bank Transfer,South America,0,1,,35-44
578,PUR-95237,2022-12-07 09:54:40.377919548,296.44,Electronics,PayPal,Asia,0,0,,25-34
2208,PUR-37918,2023-07-27 21:31:05.187352568,247.84,Books,PayPal,Australia,0,0,,35-44
2484,PUR-31149,2022-07-19 00:44:34.626690364,458.09,Home,PayPal,Australia,0,1,,25-34
1070,PUR-32652,2023-07-15 10:41:22.798751328,267.78,Books,Card,South America,0,0,,35-44
906,PUR-84794,2023-01-22 07:17:13.800367540,372.71,Home,PayPal,South America,1,0,294.0,25-34
2280,PUR-40610,2022-09-21 17:18:31.638624256,349.26,Home,Bank Transfer,Australia,0,0,,18-24
2372,PUR-58029,2022-01-29 02:22:50.423299968,45.1,Electronics,PayPal,Asia,0,1,,25-34
301,PUR-81020,2022-03-24 08:07:50.053062338,488.22,Clothing,Bank Transfer,Europe,0,1,,35-44
103,PUR-93464,2023-09-30 17:22:09.333508552,99.33,Sports,PayPal,North America,1,1,129.0,35-44
284,PUR-74702,2022-11-18 10:46:18.764175020,324.73,Home,PayPal,Asia,0,0,,35-44
235,PUR-69656,2022-07-03 12:05:44.864655300,333.38,Clothing,Card,Europe,0,0,,35-44
1012,PUR-50049,2022-04-06 09:26:31.656142160,311.37,,Crypto,South America,1,0,233.0,25-34
732,PUR-82446,2023-08-13 17:34:13.440016168,260.15,Electronics,Bank Transfer,South America,0,0,,25-34
1635,PUR-34430,2023-03-13 16:58:19.542300768,427.55,Sports,Bank Transfer,North America,0,1,,45+
888,PUR-40525,2023-01-28 21:58:23.703731784,286.79,Books,Bank Transfer,Australia,0,1,,25-34
731,PUR-91925,2023-04-26 17:15:57.031453240,94.33,Electronics,Crypto,Europe,1,1,346.0,45+
error_user,PUR-17130,2023-09-22 03:33:50.548051672,276.72,Toys,Bank Transfer,South America,1,0,6.0,35-44
1255,PUR-39604,2023-10-30 23:52:13.895991784,328.6,Toys,Crypto,Australia,1,0,130.0,45+
404,PUR-38551,2023-08-03 16:06:15.420091792,51.88,Electronics,Card,Asia,0,1,,18-24
512,PUR-53960,2022-08-26 09:33:44.056918872,12.98,Sports,Card,North America,1,0,252.0,25-34
1757,PUR-90313,2023-12-27 04:36:26.013013032,120.52,Electronics,Bank Transfer,Europe,1,1,72.0,25-34
2286,PUR-38673,2023-04-01 04:50:07.557166344,24.19,Home,PayPal,Australia,0,1,,35-44
1457,PUR-97749,2022-01-20 09:17:03.989935508,187.57,Sports,Card,North America,0,1,,45+
1301,PUR-18747,2022-10-01 14:26:41.435656868,443.12,Sports,Card,Australia,1,1,302.0,35-44
346,PUR-54133,2022-07-21 00:49:35.587139006,401.67,Clothing,PayPal,North America,0,0,,35-44
2862,PUR-34915,2023-11-17 04:12:51.307032552,285.47,Toys,Bank Transfer,Asia,1,0,360.0,25-34
1128,PUR-56751,2022-10-02 10:54:12.774934288,428.67,Sports,Bank Transfer,South America,0,0,,45+
2895,PUR-95785,2022-08-11 08:58:02.658674604,294.12,Toys,Card,Europe,1,0,320.0,18-24
1809,PUR-44305,2022-05-10 23:47:20.884262192,297.44,Books,PayPal,Europe,1,1,128.0,18-24
1881,PUR-18736,2022-07-12 01:55:58.384945414,53.37,Clothing,Card,Australia,1,0,337.0,25-34
error_user,PUR-71070,2022-06-22 16:09:50.769769806,125.92,Electronics,Bank Transfer,Europe,1,1,68.0,45+
1877,PUR-93313,2022-02-24 22:59:44.134637079,426.92,Sports,PayPal,North America,1,0,237.0,45+
2848,PUR-60019,2023-01-26 07:00:48.506213148,13.95,Books,PayPal,Europe,1,1,36.0,18-24
2135,PUR-79578,2022-09-11 08:17:57.184582004,467.67,Electronics,Bank Transfer,South America,1,1,18.0,35-44
1658,PUR-33266,2022-03-08 04:07:25.434657496,302.4,Books,Card,Australia,1,0,233.0,25-34
1711,PUR-60858,2023-03-09 23:22:47.652991792,11.3,Books,Card,Europe,0,0,,25-34
1999,PUR-94617,2023-03-21 21:42:27.355584760,153.42,Toys,Bank Transfer,Asia,1,0,159.0,35-44
1392,PUR-65278,2022-12-17 04:56:41.729839580,329.34,Books,Bank Transfer,Asia,1,1,103.0,25-34
516,PUR-30391,2022-02-17 19:13:55.744883111,395.85,Clothing,Bank Transfer,Asia,1,1,355.0,35-44
240,PUR-13898,2023-05-07 23:47:16.542670408,413.4,Home,PayPal,North America,0,1,,45+
1584,PUR-64308,2022-01-31 07:06:27.201802432,439.74,Books,PayPal,Australia,1,1,164.0,25-34
2189,PUR-38364,2023-07-21 10:24:59.067547376,176.73,Electronics,PayPal,Asia,0,0,,45+
258,PUR-88957,2022-01-27 11:48:47.824157182,57.71,Books,Bank Transfer,North America,1,1,257.0,45+
1785,PUR-78340,2023-11-23 06:25:42.660129104,446.98,Home,Bank Transfer,Asia,0,1,,35-44
1913,PUR-67940,2022-05-06 07:40:24.709093694,356.37,Home,PayPal,South America,1,0,21.0,18-24
773,PUR-79778,2023-05-29 11:19:12.165508064,26.35,Books,Bank Transfer,South America,0,1,,25-34
1752,PUR-17910,2023-01-17 03:56:42.117730084,371.31,Toys,Bank Transfer,North America,1,1,144.0,35-44
488,PUR-80595,2022-01-03 07:45:10.885095883,373.0,Home,Crypto,Asia,0,0,,25-34
2931,PUR-83335,2022-07-24 00:08:22.136546030,298.91,Home,Bank Transfer,Europe,1,1,313.0,18-24
1280,PUR-14034,2022-07-21 21:42:49.669748714,352.85,Books,Card,Australia,0,0,,45+
602,PUR-70609,2022-01-24 23:41:50.795628499,332.22,Sports,Bank Transfer,Australia,1,0,311.0,25-34
2015,PUR-71039,2022-03-20 02:46:22.972228532,221.61,Clothing,Bank Transfer,Europe,0,0,,45+
1086,PUR-97273,2022-05-18 03:49:58.827071488,369.1,Clothing,Bank Transfer,Asia,0,1,,35-44
1795,PUR-45415,2023-10-07 05:51:56.560601880,145.04,Clothing,Crypto,Asia,0,1,,18-24
2577,PUR-91702,2022-06-26 07:49:57.362774768,360.0,Sports,Card,Europe,0,0,,35-44
919,PUR-11778,2022-10-09 13:39:34.683644268,489.7,Toys,Bank Transfer,Asia,0,0,,25-34
1905,PUR-11880,2023-10-19 22:17:13.702478584,237.45,Sports,Card,North America,0,1,,35-44
910,PUR-14596,2022-07-03 13:17:17.666992070,23.04,Electronics,Card,North America,1,0,18.0,35-44
error_user,PUR-53806,2023-01-11 07:07:02.648377700,203.23,Clothing,PayPal,South America,0,1,,45+
1492,PUR-57140,2023-04-23 05:30:24.898228808,421.97,Toys,PayPal,South America,0,0,,18-24
1439,PUR-64734,2023-06-30 10:29:11.745744272,65.43,Sports,Crypto,Europe,0,0,,18-24
1606,PUR-79077,2022-07-31 10:23:04.550029900,426.94,Electronics,Crypto,Europe,0,1,,18-24
2736,PUR-59167,2023-09-02 15:13:09.437550808,,Toys,Crypto,North America,1,1,200.0,35-44
2958,PUR-55587,2022-04-13 02:53:38.316239788,485.28,Books,Crypto,South America,1,0,224.0,18-24
error_user,PUR-14161,2022-03-05 05:49:52.544638309,336.2,Clothing,Bank Transfer,North America,0,1,,18-24
2889,PUR-12256,2022-05-23 02:09:17.369341244,475.73,Toys,PayPal,Asia,1,0,346.0,18-24
558,PUR-44035,2023-02-11 13:21:05.782834868,454.58,Books,PayPal,North America,1,1,353.0,25-34
348,PUR-98685,2022-06-15 17:20:45.428397144,384.62,Toys,Bank Transfer,South America,1,1,99.0,35-44
473,PUR-45929,2022-08-18 07:31:01.719062816,439.65,Sports,PayPal,Australia,0,0,,35-44
2685,PUR-68687,2022-08-01 12:09:23.978966220,237.12,Home,Crypto,Europe,1,1,230.0,25-34
973,PUR-77880,2022-03-05 21:00:39.270348748,392.32,,Crypto,Australia,1,1,224.0,25-34
522,PUR-10769,2023-03-22 07:45:45.688641104,170.24,Toys,PayPal,South America,1,0,137.0,18-24
922,PUR-55999,2023-06-18 04:53:46.690267616,222.67,Books,PayPal,Europe,1,1,244.0,35-44
2627,PUR-64917,2022-06-12 02:06:23.407841326,,Books,PayPal,Australia,1,1,191.0,45+
1898,PUR-32466,2023-01-31 21:48:56.380599228,101.62,Electronics,Card,South America,0,0,,25-34
1260,PUR-66138,2022-06-27 10:44:58.931738020,82.22,Clothing,Card,Europe,1,0,80.0,35-44
1361,PUR-29411,2023-07-07 08:15:27.027113160,495.1,Electronics,Card,Europe,0,1,,18-24
517,PUR-91448,2023-11-01 13:33:14.506200960,469.45,Clothing,Card,North America,0,0,,35-44
1323,PUR-36194,2023-06-28 02:01:35.123744584,315.89,Electronics,Crypto,Asia,1,1,304.0,35-44
2426,PUR-69630,2022-03-15 03:05:56.246958953,165.81,Sports,Crypto,South America,1,1,166.0,35-44
153,PUR-24900,2022-05-22 00:29:34.120639432,193.15,Sports,Card,South America,1,1,1.0,45+
1822,PUR-94582,2023-05-31 01:17:05.468012352,36.33,Toys,Card,Europe,0,0,,25-34
2423,PUR-96667,2023-03-19 08:00:59.460900272,,Books,Bank Transfer,Australia,1,0,253.0,35-44
252,PUR-57842,2022-03-14 22:04:13.654772495,370.61,Sports,Crypto,Asia,0,1,,45+
280,PUR-89128,2022-06-11 05:04:50.802695490,275.45,Toys,Crypto,Australia,1,1,298.0,35-44
22,PUR-12193,2023-07-02 19:38:40.022849472,431.07,Books,Card,Europe,0,1,,25-34
744,PUR-56957,2023-04-25 03:22:51.425869624,324.43,Electronics,Crypto,South America,1,1,208.0,45+
1161,PUR-22878,2022-02-01 07:55:39.836511786,441.93,,Crypto,Australia,1,0,42.0,35-44
355,PUR-66708,2023-08-18 08:41:49.114708272,117.87,Home,PayPal,South America,0,1,,25-34
2499,PUR-62557,2023-06-14 06:48:22.736997072,132.63,,Bank Transfer,Asia,1,0,94.0,45+
988,PUR-92943,2023-06-14 04:33:09.326511344,147.6,Electronics,Bank Transfer,South America,1,0,140.0,18-24
1676,PUR-42158,2023-04-24 12:04:05.178354384,100.32,Electronics,Card,South America,1,1,50.0,35-44
963,PUR-35899,2022-04-28 20:23:25.996138722,382.33,Home,PayPal,Asia,0,1,,25-34
2828,PUR-37700,2022-02-19 04:07:30.333854868,101.47,Books,Card,Europe,0,0,,18-24
1981,PUR-22101,2023-01-05 11:20:00.905797908,196.95,Electronics,Card,Asia,1,0,154.0,35-44
2476,PUR-57253,2023-02-17 19:15:48.099127680,297.21,Home,Crypto,Australia,0,0,,45+
148,PUR-99480,2022-01-04 23:03:54.456225916,70.59,Electronics,Crypto,Asia,1,1,233.0,18-24
2934,PUR-37119,2022-04-23 20:35:47.310265706,211.11,Electronics,Crypto,Asia,1,1,198.0,18-24
1315,PUR-18035,2022-03-18 05:59:51.589096444,260.27,Home,PayPal,Asia,0,1,,45+
673,PUR-86097,2023-07-06 09:56:46.625874992,313.2,Toys,Crypto,Asia,1,1,189.0,35-44
546,PUR-45964,2023-07-09 05:26:41.594966952,18.7,Books,PayPal,Asia,0,0,,45+
2279,PUR-42704,2023-05-27 00:14:46.961573016,216.18,Home,PayPal,Australia,0,1,,45+
503,PUR-18011,2022-04-17 18:56:35.838377736,367.58,Toys,PayPal,Asia,1,1,305.0,18-24
626,PUR-20268,2022-09-30 16:02:58.375221256,55.78,,Bank Transfer,Europe,1,1,277.0,25-34
1300,PUR-62571,2022-10-30 11:04:36.071381848,227.51,Sports,Crypto,Europe,0,0,,35-44
2453,PUR-23415,2022-05-30 22:55:24.377321922,20.38,Sports,Card,Asia,0,1,,18-24
1399,PUR-65608,2022-08-31 22:41:33.046580520,320.65,Sports,PayPal,Asia,1,1,104.0,18-24
2198,PUR-20761,2023-10-05 08:40:16.663217888,460.55,Sports,Card,Australia,1,0,131.0,35-44
2202,PUR-32213,2023-07-07 21:52:43.612718520,344.57,,Card,North America,0,1,,25-34
2215,PUR-25858,2022-03-29 00:06:33.173368250,122.52,Books,Card,South America,1,1,342.0,25-34
2250,PUR-42342,2022-10-10 11:34:08.026758312,497.99,Books,Card,South America,1,0,339.0,35-44
1136,PUR-51617,2022-10-26 07:35:39.035556196,295.42,Home,Card,Europe,1,0,184.0,18-24
1518,PUR-46189,2022-12-01 17:27:59.411431260,172.29,Electronics,PayPal,Europe,1,1,68.0,45+
2432,PUR-90555,2023-07-19 14:58:10.188202920,234.76,Books,PayPal,North America,0,1,,25-34
2343,PUR-85732,2023-05-20 16:24:07.354278144,236.46,Clothing,Bank Transfer,North America,0,1,,25-34
2681,PUR-77905,2022-11-29 12:49:22.615597264,143.88,Toys,Crypto,Australia,0,0,,25-34
2998,PUR-13497,2022-03-05 05:02:56.773530823,69.83,Sports,Bank Transfer,Australia,0,0,,18-24
963,PUR-56474,2022-07-27 22:03:39.195194548,419.5,Clothing,Crypto,North America,1,1,162.0,35-44
